distance_level,triplet_count,baseline_confidence_mean,baseline_confidence_std,post_attack_confidence_mean,post_attack_confidence_std,confidence_change_mean,confidence_change_std,baseline_accuracy_mean,baseline_accuracy_std,post_attack_accuracy_mean,post_attack_accuracy_std,accuracy_change_mean,accuracy_change_std,new_contamination_count,contamination_rate
target,1,1.0,,0.7374754477165546,,-0.2625245522834454,,90.0,,0.0,,-90.0,,1,1.0
d1,6,0.9871559146101828,0.020810414016885524,0.8638605911655,0.11382925694265544,-0.12329532344468287,0.1326151572349337,66.66666666666667,28.047578623950173,21.666666666666668,38.68677637987774,-45.0,56.124860801609124,5,0.8333333333333334
d2,16,0.9546524715426685,0.10528959548502209,0.7913025416073088,0.1546878744901783,-0.16334992993535968,0.15779714523526206,61.25,30.304015135511886,59.375,36.04973416453072,-1.875,20.726392192886184,3,0.1875
d3,28,0.9640457114534688,0.061580391225627716,0.8127181683540342,0.15774449410084385,-0.15132754309943466,0.17097170397151623,63.75,27.101489640621985,70.35714285714286,24.567690745599773,6.607142857142857,27.62357995105213,1,0.03571428571428571
d4,31,0.9737629450412133,0.10321229877679643,0.9067661570078205,0.10072078077934082,-0.06699678803339278,0.14383241553892054,71.7741935483871,31.977814890346874,69.03225806451613,35.97265986919116,-2.7419354838709675,41.98886181035433,3,0.0967741935483871
d5,42,0.9813105857289095,0.043605526635886654,0.897867552098709,0.0958035558477702,-0.08344303363020045,0.10261662026956209,63.095238095238095,34.03642920984166,69.52380952380952,31.69614741168588,6.428571428571429,31.064168722134067,4,0.09523809523809523
